,City,Country,Population (2024),Population (2023),Growth Rate
286,Meerut,India,1835403,1797805,0.0209
287,Gaziantep,Turkey,1833006,1804704,0.0157
288,La Laguna,Mexico,1826135,1780592,0.0256
289,Batam,Indonesia,1806147,1748142,0.0332
290,Turin,Italy,1805727,1801944,0.0021
291,Warsaw,Poland,1799451,1797516,0.0011
292,Jiangmen,China,1797469,1768511,0.0164
293,Varanasi,India,1789047,1754425,0.0197
294,Hamburg,Germany,1787280,1787520,-0.0001
295,Montevideo,Uruguay,1781363,1774396,0.0039
296,Budapest,Hungary,1780391,1778052,0.0013
297,Lyon,France,1774395,1761188,0.0075
298,Xiangyang,China,1772318,1742706,0.017
299,Bucharest,Romania,1767520,1776385,-0.005
300,Yichang,China,1758100,1711244,0.0274
301,Yinchuan,China,1757699,1716591,0.0239
302,Shiraz,Iran,1742750,1720954,0.0127
303,Kananga,DR Congo,1738716,1664442,0.0446
304,Srinagar,India,1737502,1698277,0.0231
305,Monrovia,Liberia,1735365,1678020,0.0342
306,Tiruppur,India,1731862,1677173,0.0326
307,Jamshedpur,India,1730521,1695060,0.0209
308,Suqian,China,1726327,1664968,0.0369
309,Aurangabad,India,1725283,1683389,0.0249
310,Qinhuangdao,China,1723728,1680962,0.0254
311,Stockholm,Sweden,1719604,1700066,0.0115
312,Anshan,China,1713452,1689499,0.0142
313,Glasgow,United Kingdom,1708147,1698088,0.0059
314,Xining,China,1705078,1666605,0.0231
315,Makassar,Indonesia,1704930,1673094,0.019
316,Hengyang,China,1702012,1661854,0.0242
317,Novosibirsk,Russia,1701510,1694765,0.004
318,Ulaanbaatar,Mongolia,1699363,1672627,0.016
319,Onitsha,Nigeria,1694913,1623382,0.0441
320,Jilin,China,1693701,1668785,0.0149
321,Anyang,China,1693375,1642347,0.0311
322,Auckland,New Zealand,1692770,1673220,0.0117
323,Tabriz,Iran,1678028,1660737,0.0104
324,Phoenix,United States,1676481,1660445,0.0097
325,Muscat,Oman,1676167,1650319,0.0157
326,Calgary,Canada,1665023,1639613,0.0155
327,Qiqihaer,China,1662407,1635458,0.0165
328,N Djamena,Chad,1655618,1592324,0.0397
329,Marseille,France,1635707,1627549,0.005
330,Cordoba,Argentina,1625937,1611651,0.0089
331,Jodhpur,India,1625325,1586547,0.0244
332,Kathmandu,Nepal,1621642,1571010,0.0322
333,Rosario,Argentina,1613041,1594096,0.0119
334,Tegucigalpa,Honduras,1609261,1568025,0.0263
335,Ciudad Juarez,Mexico,1604085,1582313,0.0138
336,Harare,Zimbabwe,1603201,1578128,0.0159
337,Karaj,Iran,1603011,1593608,0.0059
338,Medina,Saudi Arabia,1598976,1572571,0.0168
339,Jining Shandong,China,1595963,1569560,0.0168
340,Abu Dhabi,United Arab Emirates,1593284,1566999,0.0168
341,Munich,Germany,1584507,1576416,0.0051
342,Ranchi,India,1584237,1547258,0.0239
343,Daejon,South Korea,1581705,1577436,0.0027
344,Zhangjiakou,China,1568122,1536171,0.0208
345,Edmonton,Canada,1567615,1544448,0.015
346,Mandalay,Myanmar,1563021,1531860,0.0203
347,Gaoxiong,Taiwan,1559085,1552899,0.004
348,Kota,India,1558468,1516795,0.0275
349,Natal,Brazil,1556413,1535316,0.0137
350,Nouakchott,Mauritania,1552146,1491958,0.0403
351,Jabalpur,India,1551004,1522121,0.019
352,Huainan,China,1538603,1512668,0.0171
353,Grande Sao Luis,Brazil,1536017,1523629,0.0081
354,Asansol,India,1534081,1505033,0.0193
355,Philadelphia,United States,1533916,1550587,-0.0107
356,Yekaterinburg,Russia,1532970,1527728,0.0034
357,Gwangju,South Korea,1532902,1529472,0.0022
358,Yiwu,China,1525749,1483320,0.0286
359,Chaozhou,China,1520628,1496298,0.0163
360,Gwalior,India,1508846,1475016,0.0229
361,Ganzhou,China,1508037,1459678,0.0331
362,San Antonio,United States,1506593,1489751,0.0113
363,Homs,Syria,1499603,1443429,0.0389
364,Niamey,Niger,1496258,1437233,0.0411
365,Mombasa,Kenya,1495223,1440396,0.0381
366,Allahabad,India,1493346,1465152,0.0192
367,Basra,Iraq,1485156,1448124,0.0256
368,Kisangani,DR Congo,1483513,1423395,0.0422
369,San Jose,Costa Rica,1482460,1461989,0.014
370,Amritsar,India,1480470,1451748,0.0198
371,Taizhou Jiangsu,China,1477600,1446810,0.0213
372,Chon Buri,Thailand,1472709,1454222,0.0127
373,Jiaxing,China,1470917,1424982,0.0322
374,Weihai,China,1465926,1429315,0.0256
375,Hai Phong,Vietnam,1463650,1422974,0.0286
376,Ottawa,Canada,1451571,1437188,0.01
377,Zurich,Switzerland,1443349,1431538,0.0083
378,Taian Shandong,China,1441911,1416064,0.0183
379,Queretaro,Mexico,1436818,1413474,0.0165
380,Joao Pessoa,Brazil,1435125,1421827,0.0094
381,Kaifeng,China,1434463,1398262,0.0259
382,Cochabamba,Bolivia,1430688,1400250,0.0217
383,Konya,Turkey,1429935,1407632,0.0158
384,Liuyang,China,1428802,1373523,0.0402
385,Liuan,China,1427894,1378077,0.0361
386,Rizhao,China,1426583,1391258,0.0254
387,Kharkiv,Ukraine,1418978,1421052,-0.0015
388,Dhanbad,India,1414532,1389776,0.0178
389,Nanchong,China,1412714,1377572,0.0255
390,Dongying,China,1410791,1379377,0.0228
391,Belgrade,Serbia,1410697,1408144,0.0018
392,Zunyi,China,1406091,1376453,0.0215
393,Zhanjiang,China,1399310,1371998,0.0199
394,Bucaramanga,Colombia,1396632,1381498,0.011
395,Uyo,Nigeria,1393453,1329284,0.0483
396,Copenhagen,Denmark,1391205,1381005,0.0074
397,Shiyan,China,1387377,1354025,0.0246
398,Taizhong,Taiwan,1381855,1369066,0.0093
399,Bareilly,India,1380715,1348664,0.0238
400,Pointe Noire,Republic of the Congo,1379368,1336387,0.0322
401,Adelaide,Australia,1379280,1366783,0.0091
402,Suweon,South Korea,1378229,1365352,0.0094
403,Mwanza,Tanzania,1378014,1310754,0.0513
404,Mianyang Sichuan,China,1376449,1351383,0.0185
405,Samut Prakan,Thailand,1376146,1358871,0.0127
406,Maceio,Brazil,1375984,1363510,0.0091
407,San Diego,United States,1375452,1378307,-0.0021
408,Qom,Iran,1373800,1354174,0.0145
409,Antalya,Turkey,1372400,1347240,0.0187
410,Joinville,Brazil,1361992,1348521,0.01
411,Tengzhou,China,1360779,1322916,0.0286
412,Yingkou,China,1355564,1323174,0.0245
413,Ad Dammam,Saudi Arabia,1352912,1329291,0.0178
414,Suzhou,China,1349994,1310433,0.0302
415,Tanger,Morocco,1348848,1314178,0.0264
416,Freetown,Sierra Leone,1347559,1309168,0.0293
417,Helsinki,Finland,1346810,1337786,0.0067
418,Aligarh,India,1346018,1312369,0.0256
419,Moradabad,India,1335966,1301740,0.0263
420,Pekan Baru,Indonesia,1334532,1303355,0.0239
421,Maoming,China,1333930,1303900,0.023
422,Lilongwe,Malawi,1333096,1276316,0.0445
423,Porto,Portugal,1329301,1324652,0.0035
424,Prague,Czech Republic,1327947,1323339,0.0035
425,Astana,Kazakhstan,1324111,1291280,0.0254
426,Jieyang,China,1320779,1282479,0.0299
427,Fushun Liaoning,China,1317276,1304565,0.0097
428,Mysore,India,1316461,1288245,0.0219
429,Abomey Calavi,Benin,1314916,1252890,0.0495
430,Ruian,China,1314784,1281790,0.0257
431,Fes,Morocco,1313311,1290039,0.018
432,Port Elizabeth,South Africa,1312631,1295928,0.0129
433,Florianopolis,Brazil,1309895,1294486,0.0119
434,Ahvaz,Iran,1309372,1293619,0.0122
435,Bukavu,DR Congo,1308469,1248783,0.0478
436,Nnewi,Nigeria,1300993,1239186,0.0499
437,Kazan,Russia,1296232,1291884,0.0034
438,Jinhua,China,1296065,1257941,0.0303
439,Dallas,United States,1295447,1297495,-0.0016
440,San Luis Potosi,Mexico,1292133,1273325,0.0148
441,Baoji,China,1290231,1261077,0.0231
442,Durg Bhilainagar,India,1289673,1266034,0.0187
443,Bhubaneswar,India,1289254,1257642,0.0251
444,Kigali,Rwanda,1287952,1247551,0.0324
445,Sofia,Bulgaria,1287540,1288114,-0.0004
446,Pingdingshan Henan,China,1285750,1256581,0.0232
447,Dublin,Ireland,1284551,1270172,0.0113
448,Puning,China,1282756,1254160,0.0228
449,Chifeng,China,1279544,1252414,0.0217
450,Zhuzhou,China,1277238,1254519,0.0181
451,Bujumbura,Burundi,1277050,1206767,0.0582
452,Zhenjiang Jiangsu,China,1275395,1250668,0.0198
453,Liupanshui,China,1272872,1230644,0.0343
454,Barquisimeto,Venezuela,1267872,1254192,0.0109
455,Islamabad,Pakistan,1266792,1232447,0.0279
456,Huaibei,China,1264856,1236271,0.0231
457,Tasikmalaya,Indonesia,1258124,1213778,0.0365
458,Maracay,Venezuela,1256553,1242945,0.0109
459,Bogor,Indonesia,1256155,1231445,0.0201
460,Da Nang,Vietnam,1253228,1220634,0.0267
461,Nizhniy Novgorod,Russia,1250302,1251332,-0.0008
462,Nanyang Henan,China,1250300,1224629,0.021
463,Xiangtan Hunan,China,1249380,1223912,0.0208
464,Pizhou,China,1247177,1207275,0.0331
465,Tiruchirappalli,India,1244978,1221960,0.0188
466,Chelyabinsk,Russia,1243883,1240926,0.0024
467,Mendoza,Argentina,1242319,1226427,0.013
468,Luohe,China,1241152,1197935,0.0361
469,Xiongan,China,1240158,1183042,0.0483
470,Chandigarh,India,1239699,1214775,0.0205
471,Merida,Mexico,1239654,1220603,0.0156
472,Jinzhou,China,1238377,1215376,0.0189
473,Benxi,China,1237550,1216852,0.017
474,Binzhou,China,1233584,1200222,0.0278
475,Aba,Nigeria,1230407,1188803,0.035
476,Chiang Mai,Thailand,1228773,1213348,0.0127
477,Bazhong,China,1225591,1175989,0.0422
478,Quetta,Pakistan,1221495,1190348,0.0262
479,Kaduna,Nigeria,1221451,1187398,0.0287
480,Guilin,China,1218067,1196841,0.0177
481,Saharanpur,India,1207856,1171689,0.0309
482,Hubli Dharwad,India,1205428,1181194,0.0205
483,Yueqing,China,1201400,1169864,0.027
484,Guwahati,India,1199455,1176330,0.0197
485,Mexicali,Mexico,1196982,1178477,0.0157
486,Salem,India,1194757,1169953,0.0212
487,Maputo,Mozambique,1193253,1162793,0.0262
488,Tripoli,Libya,1192436,1183292,0.0077
489,Haifa,Israel,1186475,1174429,0.0103
490,Bandar Lampung,Indonesia,1186233,1162242,0.0206
491,Bobo Dioulasso,Burkina Faso,1185053,1128646,0.05
492,Amsterdam,Netherlands,1181817,1174025,0.0066
493,Shimkent,Kazakhstan,1181020,1155073,0.0225
494,Omsk,Russia,1180677,1180745,-0.0001
495,Aguascalientes,Mexico,1179301,1161448,0.0154
496,Hargeysa,Somalia,1176617,1127198,0.0438
497,Krasnoyarsk,Russia,1173095,1166792,0.0054
498,Xinxiang,China,1160840,1140599,0.0177
499,Siliguri,India,1159371,1126249,0.0294
500,Wenling,China,1159259,1131361,0.0247
501,Samara,Russia,1154451,1155732,-0.0011
502,Zaozhuang,China,1150859,1133629,0.0152
503,Cologne,Germany,1149014,1143715,0.0046
504,Yongin,South Korea,1147967,1135671,0.0108
505,Ufa,Russia,1146786,1144799,0.0017
506,Fuyang,China,1146343,1120694,0.0229
507,Ikorodu,Nigeria,1145224,1093308,0.0475
508,Bien Hoa,Vietnam,1142997,1110824,0.029
509,Jalandhar,India,1142682,1118826,0.0213
510,Panjin,China,1142542,1120675,0.0195
511,Ma'anshan,China,1140264,1112680,0.0248
512,Cuernavaca,Mexico,1140169,1123843,0.0145
513,Rostov on Don,Russia,1139641,1138854,0.0007
514,Chihuahua,Mexico,1135342,1116295,0.0171
515,Fuzhou Jiangxi,China,1131718,1100271,0.0286
516,Tshikapa,DR Congo,1131226,1077108,0.0502
517,Shangrao,China,1130887,1106736,0.0218
518,Samarinda,Indonesia,1128176,1100324,0.0253
519,Bishkek,Kyrgyzstan,1127721,1104742,0.0208
520,Zhaoqing,China,1127601,1103202,0.0221
521,San Salvador,El Salvador,1123376,1116052,0.0066
522,Yichun Jiangxi,China,1122041,1078630,0.0402
523,Chenzhou,China,1119791,1084969,0.0321
524,Sekondi Takoradi,Ghana,1119534,1077929,0.0386
525,Leshan,China,1116497,1087409,0.0267
526,Aden,Yemen,1116193,1079670,0.0338
527,Goyang,South Korea,1114079,1105283,0.008
528,Diyarbakir,Turkey,1113333,1096937,0.0149
529,Asmara,Eritrea,1111748,1072666,0.0364
530,Dezhou,China,1108356,1080680,0.0256
531,Jingzhou Hubei,China,1108067,1089886,0.0167
532,Managua,Nicaragua,1107118,1094510,0.0115
533,Johor Bahru,Malaysia,1107001,1086214,0.0191
534,Kermanshah,Iran,1101611,1084623,0.0157
535,Nyala,Sudan,1101314,1056952,0.042
536,Oslo,Norway,1100868,1085992,0.0137
537,Kirkuk,Iraq,1100390,1074884,0.0237
538,Yerevan,Armenia,1097542,1094813,0.0025
539,Cartagena,Colombia,1096463,1087599,0.0082
540,Changshu,China,1093687,1059902,0.0319
541,Huzhou,China,1091811,1067651,0.0226
542,Xuchang,China,1091744,1063876,0.0262
543,Solapur,India,1088131,1070322,0.0166
544,Lille,France,1085199,1079120,0.0056
545,Mersin,Turkey,1084817,1069402,0.0144
546,Tbilisi,Georgia,1084471,1082245,0.0021
547,Perm,Russia,1084120,1081768,0.0022
548,Voronezh,Russia,1083724,1080808,0.0027
549,Denpasar,Indonesia,1075244,1053041,0.0211
550,Toulouse,France,1070746,1060460,0.0097
551,Blantyre Limbe,Malawi,1070625,1030974,0.0385
552,Aracaju,Brazil,1070122,1056986,0.0124
